"['杨浦', '新江湾城']","['加州水郡', '地图']",2299,99940,"['4室2厅3卫', '中楼层 (共20层)', '230.04㎡', '平层', '板楼', '南', '钢混结构', '简装', '两梯两户', '有']"
"['静安', '阳城']","['永和丽园', '地图']",468,75901,"['2室1厅1卫', '高楼层 (共6层)', '61.66㎡', '平层', '板楼', '南 北', '钢混结构', '简装', '一梯四户']"
"['嘉定', '丰庄']","['丰庄十四街坊', '地图']",345,54815,"['2室1厅1卫', '低楼层 (共6层)', '62.94㎡', '平层', '板楼', '南', '砖混结构', '精装', '一梯两户']"
"['徐汇', '华东理工']","['长陇苑', '地图']",295,58289,"['1室1厅1卫', '高楼层 (共6层)', '50.61㎡', '平层', '板楼', '南', '砖混结构', '简装', '一梯三户']"
"['徐汇', '华泾']","['紫阳花苑', '地图']",410,60039,"['2室1厅1卫', '高楼层 (共6层)', '68.29㎡', '平层', '板楼', '南', '混合结构', '简装', '一梯两户']"
"['浦东', '临港新城']","['海芦镜湖苑', '地图']",235,18576,"['3室2厅1卫', '中楼层 (共12层)', '126.51㎡', '平层', '板楼', '南 北', '钢混结构', '简装', '一梯两户']"
"['宝山', '顾村']","['好日子大家园A区', '地图']",565,43302,"['3室2厅2卫', '高楼层 (共6层)', '130.48㎡', '暂无数据', '板楼', '南 北', '砖混结构', '简装', '一梯两户']"
"['闵行', '梅陇']","['罗锦苑', '地图']",454,55638,"['2室2厅1卫', '低楼层 (共6层)', '81.6㎡', '平层', '板楼', '南 北', '砖混结构', '简装', '一梯两户']"
"['浦东', '金桥']","['中惠广场', '地图']",120,23507,"['1室1厅1卫', '高楼层 (共28层)', '51.05㎡', '暂无数据', '塔楼', '西南 西', '钢混结构', '简装', '四梯二十户', '有', '商水', '商电']"
"['浦东', '金桥']","['中惠广场', '地图']",120,23507,"['1室1厅1卫', '高楼层 (共28层)', '51.05㎡', '暂无数据', '塔楼', '西南 西', '钢混结构', '简装', '四梯二十户', '有', '商水', '商电']"
"['徐汇', '斜土路']","['江南新村(徐汇)', '地图']",336,73044,"['1室1厅1卫', '中楼层 (共5层)', '46㎡', '暂无数据', '板楼', '南', '砖混结构', '精装', '一梯四户']"
"['徐汇', '康健']","['康健公寓', '地图']",820,75479,"['2室2厅1卫', '高楼层 (共19层)', '108.64㎡', '暂无数据', '塔楼', '南', '钢混结构', '精装', '两梯八户', '有']"
"['浦东', '外高桥']","['潼港三村', '地图']",318,40016,"['3室1厅1卫', '高楼层 (共6层)', '79.47㎡', '暂无数据', '板楼', '南 北', '砖混结构', '简装', '一梯两户']"
"['宝山', '大华']","['大华公园世家康华苑', '地图']",775,61862,"['3室2厅2卫', '高楼层 (共6层)', '125.28㎡', '暂无数据', '板楼', '南', '钢混结构', '简装', '一梯两户']"
"['长宁', '古北']","['领尚国际酒店公寓', '地图']",550,63724,"['2室1厅1卫', '中楼层 (共18层)', '86.31㎡', '暂无数据', '暂无数据', '南 北', '未知结构', '精装', '一梯十二户']"
"['闵行', '七宝']","['茂盛花苑', '地图']",334,51671,"['2室1厅1卫', '低楼层 (共6层)', '64.64㎡', '平层', '板楼', '南', '砖混结构', '简装', '一梯两户']"
"['宝山', '大华']","['滨江雅苑', '地图']",700,67438,"['2室2厅2卫', '低楼层 (共11层)', '103.8㎡', '暂无数据', '板楼', '南', '钢混结构', '简装', '一梯两户', '有']"
"['长宁', '中山公园']","['利星国际广场', '地图']",1220,89052,"['3室1厅2卫', '低楼层 (共38层)', '137㎡', '平层', '板楼', '南', '钢混结构', '其他', '两梯三户', '有']"
"['徐汇', '斜土路']","['茶陵小区', '地图']",440,88657,"['2室1厅1卫', '高楼层 (共6层)', '49.63㎡', '平层', '49.63㎡', '板楼', '南 北', '砖混结构', '精装', '一梯三户']"
"['徐汇', '斜土路']","['日晖二村', '地图']",420,78755,"['1室1厅1卫', '中楼层 (共5层)', '53.33㎡', '平层', '板楼', '南', '砖混结构', '精装', '一梯四户']"
